Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Spraguea lophii 42_110 (GCA_000430065),Spraguea lophii 42_110,42_110,,Ensembl-Genbank,,,
Stachybotrys chartarum IBT 40288 (GCA_000732765),Stachybotrys chartarum IBT 40288,IBT 40288,,Ensembl-Genbank,,,
Stachybotrys chartarum IBT 40293 (GCA_000732565),Stachybotrys chartarum IBT 40293,IBT 40293,,Ensembl-Genbank,,,
Stachybotrys chartarum IBT 7711 (GCA_000730325),Stachybotrys chartarum IBT 7711,IBT 7711,,Ensembl-Genbank,,,
Stachybotrys chlorohalonata IBT 40285 (GCA_000732775),Stachybotrys chlorohalonata IBT 40285,IBT 40285,,Ensembl-Genbank,,,
Stachybotrys elegans MPI-CAGE-CH-0235 v1.0,Stachybotrys elegans MPI-CAGE-CH-0235,MPI-CAGE-CH-0235,,JGI,,,
Stagonospora nodorum SN15 v2.0,Stagonospora nodorum SN15,SN15,,JGI,,,
Stagonospora sp. SRC1lsM3a (GCA_001644525),Stagonospora sp. SRC1lsM3a,SRC1lsM3a,,Ensembl-Genbank,,,
Stagonospora sp. SRC1lsM3a v1.0,Stagonospora sp. SRC1lsM3a,SRC1lsM3a,,JGI,,,
Stanjemonium grisellum CBS 655.79 v1.0,Stanjemonium grisellum CBS 655.79,CBS 655.79,,JGI,,,
Stemphylium lycopersici CIDEFI-216,Stemphylium lycopersici CIDEFI-216,CIDEFI-216,,JGI,,,
Stemphylium lycopersici str. CIDEFI 216 (GCA_001191545),Stemphylium lycopersici str. CIDEFI 216,CIDEFI 216,,Ensembl-Genbank,,,
Stereum hirsutum FP-91666 SS1 (GCA_000264905),Stereum hirsutum FP-91666 SS1,FP-91666 SS1,,Ensembl-Genbank,,,
Stereum hirsutum FP-91666 SS1 v1.0,Stereum hirsutum FP-91666 SS1,FP-91666 SS1,,JGI,,,
Stomiopeltis betulae CBS114420 v1.0,Stomiopeltis betulae CBS114420,CBS 114420,,JGI,,,
Sugiyamaella americana NRRL YB-2067 v1.0,Sugiyamaella americana NRRL YB-2067,NRRL YB-2067,,JGI,,,
Sugiyamaella lignohabitans str. CBS 10342 (GCA_001640025),Sugiyamaella lignohabitans str. CBS 10342,CBS 10342,,Ensembl-Genbank,,,
Suhomyces tanzawaensis NRRL Y-17324 (GCA_001661415),Suhomyces tanzawaensis NRRL Y-17324,NRRL Y-17324,,Ensembl-Genbank,,,
Suillus brevipes Sb2 v2.0,Suillus brevipes Sb2,Sb2,,JGI,,,
Suillus luteus UH-Slu-Lm8-n1 (GCA_000827255),Suillus luteus UH-Slu-Lm8-n1,UH-Slu-Lm8-n1,,Ensembl-Genbank,,,
Suillus luteus UH-Slu-Lm8-n1 v3.0,Suillus luteus UH-Slu-Lm8-n1,UH-Slu-Lm8-n1,,JGI,,,
Suillus subaureus MN1 v1.0,Suillus subaureus MN1,MN1,,JGI,,,
Sympodiomyces attinorum NRRL Y-27639 v1.0,Sympodiomyces attinorum NRRL Y-27639,NRRL Y-27639,,JGI,,,
Syncephalastrum racemosum NRRL 2496 v1.0,Syncephalastrum racemosum NRRL 2496,NRRL 2496,,JGI,,,
Syncephalastrum racemosum str. NRRL 2496,Syncephalastrum racemosum str. NRRL 2496,NRRL 2496,,Ensembl-Genbank,,,
Syncephalis fuscata S228 v1.0,Syncephalis fuscata S228,S228,,JGI,,,
Syncephalis plumigaleata NRRL S24 v1.0,Syncephalis plumigaleata NRRL S24,NRRL S24,,JGI,,,
Syncephalis pseudoplumigaleata Benny S71-1 single-cell v1.0,Syncephalis pseudoplumigaleata Benny S71-1 single-cell,Benny S71-1 single-cell,,JGI,,,
Talaromyces atroroseus str. IBT 11181 (GCA_001907595),Talaromyces atroroseus str. IBT 11181,IBT 11181,,Ensembl-Genbank,,,
Talaromyces borbonicus CBS 141340,Talaromyces borbonicus CBS 141340,CBS 141340,,JGI,,,
Talaromyces cellulolyticus str. Y-94 (GCA_000829775),Talaromyces cellulolyticus str. Y-94,Y-94,,Ensembl-Genbank,,,
Talaromyces islandicus (GCA_000985935),Talaromyces islandicus,WF-38-12,,Ensembl-Genbank,,,
Talaromyces marneffei ATCC 18224,Talaromyces marneffei ATCC 18224,ATCC 18224,Ascomycota,FungiDB,,,
Talaromyces marneffei ATCC 18224,Talaromyces marneffei ATCC 18224,ATCC 18224,,JGI,,,
Talaromyces marneffei ATCC 18224 (GCA_000001985),Talaromyces marneffei ATCC 18224,ATCC 18224,,Ensembl-Genbank,,,
Talaromyces marneffei PM1 (GCA_000750115),Talaromyces marneffei PM1,PM1,,Ensembl-Genbank,,,
Talaromyces proteolyticus PMI_201 v1.0,Talaromyces proteolyticus PMI_201,PMI_201,,JGI,,,
Talaromyces stipitatus ATCC 10500,Talaromyces stipitatus ATCC 10500,ATCC 10500,Ascomycota,FungiDB,,,
Talaromyces stipitatus ATCC 10500 (GCA_000003125),Talaromyces stipitatus ATCC 10500,ATCC 10500,,Ensembl-Genbank,,,
Taphrina deformans,Taphrina deformans,PYCC 5710 ,,JGI,,,
Teichospora sp. FL1471 v1.0,Teichospora sp. FL1471,FL1471,,JGI,,,
Teratosphaeria nubilosa CBS 116005 v1.0,Teratosphaeria nubilosa CBS 116005,CBS 116005,,JGI,,,
Teratosphaeriaceae  sp. NC1134 v1.0,Teratosphaeriaceae  sp. NC1134,NC1134,,JGI,,,
Terfezia boudieri ATCC MYA-4762 v1.1,Terfezia boudieri ATCC MYA-4762,ATCC MYA-4762,,JGI,,,
Terfezia claveryi T7 v1.0,Terfezia claveryi T7,T7,,JGI,,,
Termitomyces sp. J132 (GCA_001263195),Termitomyces sp. J132,J132,,Ensembl-Genbank,,,
Testicularia cyperi MCA 3645 v1.0,Testicularia cyperi MCA 3645,MCA 3645,,JGI,,,
Testicularia cyperi str. MCA 3645 (GCA_003144125),Testicularia cyperi str. MCA 3645,MCA 3645,,Ensembl-Genbank,,,
Tetrapisispora blattae CBS 6284 (GCA_000315915),Tetrapisispora blattae CBS 6284,CBS 6284,,Ensembl-Genbank,,,
Tetrapisispora phaffii CBS 4417 (GCA_000236905),Tetrapisispora phaffii CBS 4417,CBS 4417,,Ensembl-Genbank,,,
Thamnidium elegans v1.0,Thamnidium elegans,NRRL 2467 ,,JGI,,,
Thamnocephalis sphaerospora RSA 1356 single-cell v1.0,Thamnocephalis sphaerospora RSA 1356 single-cell,RSA 1356 single-cell,,JGI,,,
Thanatephorus cucumeris MPI-SDFR-AT-0096 v1.0,Thanatephorus cucumeris MPI-SDFR-AT-0096,MPI-SDFR-AT-0096,,JGI,,,
Thelebolus microsporus ATCC 90970 v1.0,Thelebolus microsporus ATCC 90970,ATCC 90970,,JGI,,,
Thelephora ganbajun P2 v1.0,Thelephora ganbajun P2,P2,,JGI,,,
Thermomyces lanuginosus SSBP,Thermomyces lanuginosus SSBP,SSBP,,JGI,,,
Thermothelomyces thermophila ATCC 42464 (GCA_000226095),Thermothelomyces thermophilus ATCC 42464,ATCC 42464,Ascomycota,Ensembl-Genbank,,,
Myceliophthora thermophila (Sporotrichum thermophile) v2.0,Thermothelomyces thermophilus ATCC 42464,ATCC 42464,Ascomycota,JGI,,,
Thielavia terrestris v2.0,Thielavia terrestris NRRL 8126,NRRL 8126,Ascomycota,JGI,,,
Thielavia terrestris NRRL 8126 (GCA_000226115),Thielavia terrestris NRRL 8126,NRRL 8126,Ascomycota,Ensembl-Genbank,,,
Thielaviopsis punctulata (GCA_000968615),Thielaviopsis punctulata,CR-DP1,,Ensembl-Genbank,,,
Thozetella sp. PMI_491 v2.0,Thozetella sp. PMI_491,PMI_491,,JGI,,,
Tilletia caries str. DAOM 238032 (GCA_001645005),Tilletia caries str. DAOM 238032,DAOM 238032,,Ensembl-Genbank,,,
Tilletia controversa str. DAOM 236426 (GCA_001645045),Tilletia controversa str. DAOM 236426,DAOM 236426,,Ensembl-Genbank,,,
Tilletia indica str. DAOM 236416 (GCA_001645015),Tilletia indica str. DAOM 236416,DAOM 236416,,Ensembl-Genbank,,,
Tilletia walkeri str. DAOM 236422 (GCA_001645055),Tilletia walkeri str. DAOM 236422,DAOM 236422,,Ensembl-Genbank,,,
Tilletiaria anomala UBC 951 (GCA_000711695),Tilletiaria anomala UBC 951,UBC 951,,Ensembl-Genbank,,,
Tilletiaria anomala UBC 951 v1.0,Tilletiaria anomala UBC 951,UBC 951,,JGI,,,
Tilletiopsis albescens v1.0,Tilletiopsis albescens,NRRL Y-17547,,JGI,,,
Tilletiopsis sp. TKC30 v1.0,Tilletiopsis sp. TKC30,TKC30,,JGI,,,
Tilletiopsis washingtonensis MCA 4186 v1.0,Tilletiopsis washingtonensis MCA 4186,MCA 4186,,JGI,,,
Tilletiopsis washingtonensis str. MCA 4186 (GCA_003144115),Tilletiopsis washingtonensis str. MCA 4186,MCA 4186,,Ensembl-Genbank,,,
Tirmania nivea G3 v1.0,Tirmania nivea G3,G3,,JGI,,,
Tolypocladium capitatum str. CBS 113982 (GCA_002901185),Tolypocladium capitatum str. CBS 113982,CBS 113982,,Ensembl-Genbank,,,
Tolypocladium inflatum NRRL 8044,Tolypocladium inflatum NRRL 8044,NRRL 8044,,JGI,,,
Tolypocladium ophioglossoides CBS 100239 (GCA_001189435),Tolypocladium ophioglossoides CBS 100239,CBS 100239,,Ensembl-Genbank,,,
Tolypocladium paradoxum str. NRBC 100945 (GCA_002916505),Tolypocladium paradoxum str. NRBC 100945,NRBC 100945,,Ensembl-Genbank,,,
Torpedospora radiata JK5252C v1.0,Torpedospora radiata JK5252C,JK5252C,,JGI,,,
Torrubiella hemipterigena str. BCC 1449 (GCA_000825705),Torrubiella hemipterigena str. BCC 1449,BCC 1449,,Ensembl-Genbank,,,
Tortispora caseinolytica NRRL Y-17796 (GCA_001661475),Tortispora caseinolytica NRRL Y-17796,NRRL Y-17796,,Ensembl-Genbank,,,
Tortispora caseinolytica Y-17796 v1.0,Tortispora caseinolytica Y-17796,Y-17796,,JGI,,,
Torulaspora delbrueckii CBS 1146,Torulaspora delbrueckii CBS 1146,CBS 1146,,JGI,,,
Torulaspora delbrueckii str. CBS 1146 (GCA_000243375),Torulaspora delbrueckii str. CBS 1146,CBS 1146,,Ensembl-Genbank,,,
Tothia fuscella CBS 130266 v1.0,Tothia fuscella CBS 130266,CBS 130266,,JGI,,,
Trachipleistophora hominis (GCA_000316135),Trachipleistophora hominis,,Microsporidia,Ensembl-Genbank,,,
Trametes cinnabarina str. BRFM137 (GCA_000765035),Trametes cinnabarina str. BRFM137,BRFM137,,Ensembl-Genbank,,,
Trametes coccinea BRFM310 (GCA_002092935),Trametes coccinea BRFM310,BRFM310,,Ensembl-Genbank,,,
Trametes pubescens FBCC735,Trametes pubescens FBCC735,FBCC735,,JGI,,,
Trametes pubescens str. FBCC735 (GCA_001895945),Trametes pubescens str. FBCC735,FBCC735,,Ensembl-Genbank,,,
Trametes versicolor v1.0,Trametes versicolor,FP-101664 SS1,,JGI,,,
Trametes versicolor FP-101664 SS1 (GCA_000271585),Trametes versicolor FP-101664 SS1,FP-101664 SS1,,Ensembl-Genbank,,,
Trematosphaeria pertusa CBS 122368 v1.0,Trematosphaeria pertusa CBS 122368,CBS 122368,,JGI,,,
Tremella mesenterica DSM 1558,Tremella mesenterica DSM 1558,DSM 1558,Basidiomycota,FungiDB,,,
Tremella mesenterica DSM 1558 (GCA_000271645),Tremella mesenterica DSM 1558,DSM 1558,,Ensembl-Genbank,,,
Tremella mesenterica Fries v1.0,Tremella mesenterica Fries DSM 1558,DSM 1558,,JGI,,,
Trichodelitschia bisporula CBS 262.69 v1.0,Trichodelitschia bisporula CBS 262.69,CBS 262.69,,JGI,,,
Trichoderma arundinaceum IBT 40837,Trichoderma arundinaceum IBT 40837,IBT 40837,,JGI,,,
Trichoderma asperellum CBS 433.97 (GCA_003025105),Trichoderma asperellum CBS 433.97,CBS 433.97,,Ensembl-Genbank,,,
Trichoderma asperellum CBS 433.97 v1.0,Trichoderma asperellum CBS 433.97,CBS 433.97,,JGI,,,
Trichoderma atrobrunneum ITEM 908,Trichoderma atrobrunneum ITEM 908,ITEM 908,,JGI,,,
Trichoderma atroviride v2.0,Trichoderma atroviride,IMI 206040,,JGI,,,
Trichoderma atroviride IMI 206040 (GCA_000171015),Trichoderma atroviride IMI 206040,IMI 206040,,Ensembl-Genbank,,,
Trichoderma citrinoviride str. TUCIM 6016 (GCA_003025115),Trichoderma citrinoviride str. TUCIM 6016,TUCIM 6016,,Ensembl-Genbank,,,
Trichoderma citrinoviride TUCIM 6016 v4.0,Trichoderma citrinoviride TUCIM 6016,TUCIM 6016,,JGI,,,
Trichoderma gamsii str. T6085 (GCA_001481775),Trichoderma gamsii str. T6085,T6085,,Ensembl-Genbank,,,
Trichoderma gamsii T6085,Trichoderma gamsii T6085,T6085,,JGI,,,
Trichoderma guizhouense NJAU 4742,Trichoderma guizhouense NJAU 4742,NJAU 4742,,JGI,,,
Trichoderma guizhouense str. NJAU 4742 (GCA_002022785),Trichoderma guizhouense str. NJAU 4742,NJAU 4742,,Ensembl-Genbank,,,
Trichoderma hamatum GD12,Trichoderma hamatum GD12,GD12,,JGI,,,
Trichoderma harzianum CBS 226.95 (GCA_003025095),Trichoderma harzianum CBS 226.95,CBS 226.95,,Ensembl-Genbank,,,
Trichoderma harzianum CBS 226.95 v1.0,Trichoderma harzianum CBS 226.95,CBS 226.95,,JGI,,,
Trichoderma harzianum str. T6776 (GCA_000988865),Trichoderma harzianum str. T6776,T6776,,Ensembl-Genbank,,,
Trichoderma harzianum str. Tr1 (GCA_002894145),Trichoderma harzianum str. Tr1,Tr1,,Ensembl-Genbank,,,
Trichoderma harzianum str. TR274 (GCA_002838845),Trichoderma harzianum str. TR274,TR274,,Ensembl-Genbank,,,
Trichoderma longibrachiatum ATCC 18648 (GCA_003025155),Trichoderma longibrachiatum ATCC 18648,ATCC 18648,,Ensembl-Genbank,,,
Trichoderma longibrachiatum ATCC 18648 v3.0,Trichoderma longibrachiatum ATCC 18648,ATCC 18648,,JGI,,,
Trichoderma parareesei (GCA_001050175),Trichoderma parareesei,CBS 125925,,Ensembl-Genbank,,,
Trichoderma parareesei CBS 125925,Trichoderma parareesei CBS 125925,CBS 125925,,JGI,,,
Trichoderma pleuroti TPhu1,Trichoderma pleuroti TPhu1,TPhu1,Ascomycota,JGI,,,
Trichoderma reesei,Trichoderma reesei,QM6a,Ascomycota,Ensembl-Genbank,,,
Trichoderma reesei v2.0,Trichoderma reesei,QM6a,Ascomycota,JGI,,,
Trichoderma reesei QM6a,Trichoderma reesei QM6a,QM6a,Ascomycota,FungiDB,,,
Trichoderma reesei RUT C-30 (GCA_000513815),Trichoderma reesei RUT C-30,RUT C-30,Ascomycota,Ensembl-Genbank,,,
Trichoderma reesei RUT C-30 v1.0,Trichoderma reesei RUT C-30,RUT C-30,Ascomycota,JGI,,,
Trichoderma virens,Trichoderma virens,Gv29-8,Ascomycota,Ensembl-Genbank,,,
Trichoderma virens Gv29-8 v2.0,Trichoderma virens Gv29-8,Gv29-8,Ascomycota,JGI,,,
Trichomonascus petasosporus NRRL YB-2093 v1.0,Trichomonascus petasosporus NRRL YB-2093,NRRL YB-2093,,JGI,,,
Trichophaea hybrida UTF0779 v1.0,Trichophaea hybrida UTF0779,UTF0779,,JGI,,,
Trichophyton benhamiae CBS 112371 (GCA_000151125),Trichophyton benhamiae CBS 112371,CBS 112371,,Ensembl-Genbank,,,
Trichophyton equinum CBS 127.97 (GCA_000151175),Trichophyton equinum CBS 127.97,CBS 127.97,,Ensembl-Genbank,,,
Trichophyton interdigitale H6 (GCA_000616785),Trichophyton interdigitale H6,H6,,Ensembl-Genbank,,,
Trichophyton interdigitale MR816 (GCA_000622975),Trichophyton interdigitale MR816,MR816,,Ensembl-Genbank,,,
Trichophyton mentagrophytes str. TIMM 2789 (GCA_003118255),Trichophyton mentagrophytes str. TIMM 2789,TIMM 2789,,Ensembl-Genbank,,,
Trichophyton rubrum CBS 100081 (GCA_000616805),Trichophyton rubrum CBS 100081,CBS 100081,,Ensembl-Genbank,,,
Trichophyton rubrum CBS 118892,Trichophyton rubrum CBS 118892,CBS 118892,,JGI,,,
Trichophyton rubrum CBS 118892 (GCA_000151425),Trichophyton rubrum CBS 118892,CBS 118892,,Ensembl-Genbank,,,
Trichophyton rubrum CBS 202.88 (GCA_000616985),Trichophyton rubrum CBS 202.88,CBS 202.88,,Ensembl-Genbank,,,
Trichophyton rubrum CBS 288.86 (GCA_000616825),Trichophyton rubrum CBS 288.86,CBS 288.86,,Ensembl-Genbank,,,
Trichophyton rubrum CBS 289.86 (GCA_000616845),Trichophyton rubrum CBS 289.86,CBS 289.86,,Ensembl-Genbank,,,
Trichophyton rubrum CBS 735.88 (GCA_000616965),Trichophyton rubrum CBS 735.88,CBS 735.88,,Ensembl-Genbank,,,
Trichophyton rubrum D6 (GCA_000622995),Trichophyton rubrum D6,D6,,Ensembl-Genbank,,,
Trichophyton rubrum MR1448 (GCA_000616905),Trichophyton rubrum MR1448,MR1448,,Ensembl-Genbank,,,
Trichophyton rubrum MR1459 (GCA_000616945),Trichophyton rubrum MR1459,MR1459,,Ensembl-Genbank,,,
Trichophyton rubrum MR850 (GCA_000616765),Trichophyton rubrum MR850,MR850,,Ensembl-Genbank,,,
Trichophyton rubrum str. CMCC(F)T1i (GCA_001651445),Trichophyton rubrum str. CMCC(F)T1i,CMCC(F)T1i,,Ensembl-Genbank,,,
Trichophyton soudanense CBS 452.61 (GCA_000616865),Trichophyton soudanense CBS 452.61,CBS 452.61,,Ensembl-Genbank,,,
Trichophyton tonsurans CBS 112818 (GCA_000151455),Trichophyton tonsurans CBS 112818,CBS 112818,,Ensembl-Genbank,,,
Trichophyton verrucosum HKI 0517,Trichophyton verrucosum HKI 0517,HKI 0517,,JGI,,,
Trichophyton verrucosum HKI 0517 (GCA_000151505),Trichophyton verrucosum HKI 0517,HKI 0517,,Ensembl-Genbank,,,
Trichophyton violaceum str. CMCC(F)T3l (GCA_001651435),Trichophyton violaceum str. CMCC(F)T3l,CMCC(F)T3l,,Ensembl-Genbank,,,
Trichosporon asahii var. asahii CBS 2479,Trichosporon asahii var. asahii CBS 2479,CBS 2479,,JGI,,,
Trichosporon asahii var. asahii CBS 2479 (GCA_000293215),Trichosporon asahii var. asahii CBS 2479,CBS 2479,,Ensembl-Genbank,,,
Trichosporon asahii var. asahii CBS 8904,Trichosporon asahii var. asahii CBS 8904,CBS 8904,,JGI,,,
Trichosporon asahii var. asahii CBS 8904 (GCA_000299215),Trichosporon asahii var. asahii CBS 8904,CBS 8904,,Ensembl-Genbank,,,
Trichosporon chiarellii MYA-4694 v1.0,Trichosporon chiarellii MYA-4694,MYA-4694,,JGI,,,
Trichosporon guehoae v1.0,Trichosporon guehoae,60-59,,JGI,,,
Trichosporon oleaginosus IBC0246 v1.0,Trichosporon oleaginosus IBC0246,IBC0246,,JGI,,,
Trinosporium guianense CBS132537 v1.0,Trinosporium guianense CBS132537,CBS 132537,,JGI,,,
Triparticalcar arcticum BR59 v1.0,Triparticalcar arcticum BR59,BR59,,JGI,,,
Tritirachium sp. CBS 265.96 v1.0,Tritirachium sp. CBS 265.96,CBS 265.96,,JGI,,,
Truncatella angustata MPI-SDFR-AT-0073 v1.0,Truncatella angustata MPI-SDFR-AT-0073,MPI-SDFR-AT-0073,,JGI,,,
Tsuchiyaea wingfieldii CBS 7118 (GCA_001720155),Tsuchiyaea wingfieldii CBS 7118,CBS 7118,,Ensembl-Genbank,,,
Tuber aestivum var. urcinatum v1.0,Tuber aestivum var. urcinatum,Montdore,,JGI,,,
Tuber borchii str. Tbo3840 (GCA_003070745),Tuber borchii str. Tbo3840,Tbo3840,,Ensembl-Genbank,,,
Tuber borchii Tbo3840 v1.0,Tuber borchii Tbo3840,Tbo3840,,JGI,,,
Tuber magnatum (GCA_003182015),Tuber magnatum,091103-1,,Ensembl-Genbank,,,
Tuber magnatum v1.0,Tuber magnatum,091103-1,,JGI,,,
Tuber melanosporum,Tuber melanosporum,Mel28,,Ensembl-Genbank,,,
Tuber melanosporum Mel28 v1.2,Tuber melanosporum Mel28,Mel28,,JGI,,,
Tulasnella calospora AL13/4D v1.0,Tulasnella calospora AL13/4D,AL13/4D,,JGI,,,
Tulasnella calospora MUT 4182 (GCA_000827465),Tulasnella calospora MUT 4182,MUT 4182,,Ensembl-Genbank,,,
Typhula sp. TRa3160C v1.0,Typhula sp. TRa3160C,TRa3160C,,JGI,,,
Umbelopsis isabellina AD026 v1.0,Umbelopsis isabellina AD026,AD026,,JGI,,,
Umbelopsis ramanniana AG # v1.0,Umbelopsis ramanniana AG #,AG #,,JGI,,,
Umbelopsis sp. nov. AD052 v1.0,Umbelopsis sp. nov. AD052,AD052,,JGI,,,
Umbilicaria pustulata (GCA_900169345),Umbilicaria pustulata,,Ascomycota,Ensembl-Genbank,,,
Uncinocarpus reesii 1704,Uncinocarpus reesii 1704,1704,Ascomycota,FungiDB,,,
Uncinocarpus reesii 1704 str. UAMH 1704 (GCA_000003515),Uncinocarpus reesii 1704 str. UAMH 1704,1704 UAMH 1704,,Ensembl-Genbank,,,
Uncinocarpus reesii UAMH 1704,Uncinocarpus reesii UAMH 1704,UAMH 1704,,JGI,,,
Urocystis occulta CBS 102.71 v1.0,Urocystis occulta CBS 102.71,CBS 102.71,,JGI,,,
Urocystis primulicola RUB 030670 v1.0,Urocystis primulicola RUB 030670,RUB 030670,,JGI,,,
Usnea florida ATCC18376 v1.0,Usnea florida ATCC18376,ATCC18376,,JGI,,,
Ustilaginoidea virens,Ustilaginoidea virens,IPU010,,JGI,,,
Ustilaginoidea virens (GCA_000965225),Ustilaginoidea virens,IPU010,,Ensembl-Genbank,,,
Ustilaginoidea virens str. UV-8b (GCA_000687475),Ustilaginoidea virens str. UV-8b,UV-8b,,Ensembl-Genbank,,,
Ustilaginomycotina sp. SA 807 (GCA_003144235),Ustilaginomycotina sp. SA 807,SA 807,,Ensembl-Genbank,,,
Ustilago bromivora str. UB2112 (GCA_900080155),Ustilago bromivora str. UB2112,UB2112,,Ensembl-Genbank,,,
Ustilago hordei str. Uh4857-4 (GCA_000286035),Ustilago hordei str. Uh4857-4,Uh4857-4,,Ensembl-Genbank,,,
Ustilago hordei Uh4857_4,Ustilago hordei Uh4857_4,Uh4857_4,,JGI,,,
Ustilago maydis,Ustilago maydis,521,,Ensembl-Genbank,,,
Ustilago maydis 521,Ustilago maydis 521,521,Basidiomycota,FungiDB,,,
Ustilago maydis 521 v2.0,Ustilago maydis 521,521,,JGI,,,
Valetoniellopsis laxa CBS 191.97 v1.0,Valetoniellopsis laxa CBS 191.97,CBS 191.97,,JGI,,,
Valsa mali str. 03-8 (GCA_000818155),Valsa mali str. 03-8,03-08,,Ensembl-Genbank,,,
Valsa mali var. pyri str. SXYL134 (GCA_000813385),Valsa mali var. pyri str. SXYL134,SXYL134,,Ensembl-Genbank,,,
Valsariales sp. FL0756 v1.0,Valsariales sp. FL0756,FL0756,,JGI,,,
Vanderwaltozyma polyspora DSM 70294 (GCA_000150035),Vanderwaltozyma polyspora DSM 70294,DSM 70294,,Ensembl-Genbank,,,
Vararia minispora EC-137 v1.0,Vararia minispora EC-137,EC-137,,JGI,,,
Vavraia culicis subsp. floridensis (GCA_000192795),Vavraia culicis subsp. floridensis,,Microsporidia,Ensembl-Genbank,,,
Veluticeps abietina OMC1657 v1.0,Veluticeps abietina OMC1657,OMC1657,,JGI,,,
Venturia inaequalis,Venturia inaequalis,EU-B04,,JGI,,,
Venturia pirina,Venturia pirina,ICMP 11032,,JGI,,,
Verruconis gallopava,Verruconis gallopava,CBS 43764,Ascomycota,JGI,,,
Verruconis gallopava str. CBS 43764 (GCA_000836295),Verruconis gallopava str. CBS 43764,CBS 43764,,Ensembl-Genbank,,,
Verruculina enalia CBS 304.66 v1.0,Verruculina enalia CBS 304.66,CBS 304.66,,JGI,,,
Verticillium alfalfae VaMs.102,Verticillium alfalfae VaMs.102,VaMs.102,,JGI,,,
Verticillium alfalfae VaMs.102 (GCA_000150825),Verticillium alfalfae VaMs.102,VaMs.102,,Ensembl-Genbank,,,
Verticillium dahliae,Verticillium dahliae,VdLs.17,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae (GCA_002892995),Verticillium dahliae,12161,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae (GCA_002893025),Verticillium dahliae,12251,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae (GCA_002893035),Verticillium dahliae,12253,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae (GCA_002893045),Verticillium dahliae,12158,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae JR2,Verticillium dahliae JR2,JR2,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae MPI-CAGE-AT-0001 v1.0,Verticillium dahliae MPI-CAGE-AT-0001,MPI-CAGE-AT-0001,Ascomycota,JGI,,,
Verticillium dahliae str. 12008 (GCA_002892985),Verticillium dahliae str. 12008,12008,Ascomycota,Ensembl-Genbank,,,
Verticillium dahliae VdLs.17,Verticillium dahliae VdLs.17,VdLs.17,Ascomycota,JGI,,,
Verticillium longisporum (GCA_001268145),Verticillium longisporum,VL1,Ascomycota,Ensembl-Genbank,,,
Verticillium longisporum (GCA_001268165),Verticillium longisporum,VL2,Ascomycota,Ensembl-Genbank,,,
Violaceomyces palustris SA 807 v1.0,Violaceomyces palustris SA 807,SA 807,Basidiomycota,JGI,,,
Vittaforma corneae ATCC 50505 (GCA_000231115),Vittaforma corneae ATCC 50505,ATCC 50505,Microsporidia,Ensembl-Genbank,,,
Volvariella volvacea V23,Volvariella volvacea V23,V23,Basidiomycota,JGI,,,
Wallemia ichthyophaga EXF-994,Wallemia ichthyophaga EXF-994,EXF-994,Basidiomycota,JGI,,,
Wallemia ichthyophaga EXF-994 (GCA_000400465),Wallemia ichthyophaga EXF-994,EXF-994,Basidiomycota,Ensembl-Genbank,,,
Wallemia mellicola v1.0,Wallemia mellicola,CBS 633.66,Basidiomycota,JGI,,,
Wallemia mellicola CBS 633.66 (GCA_000263375),Wallemia mellicola CBS 633.66,CBS 633.66,,Ensembl-Genbank,,,
Westerdykella ornata CBS 379.55 v1.0,Westerdykella ornata CBS 379.55,CBS 379.55,,JGI,,,
Wickerhamiella domercqiae NRRL Y-6692 v1.0,Wickerhamiella domercqiae NRRL Y-6692,NRRL Y-6692,,JGI,,,
Wickerhamiella sorbophila str. DS02 (GCA_002251995),Wickerhamiella sorbophila str. DS02,DS02,,Ensembl-Genbank,,,
Wickerhamomyces anomalus NRRL Y-366-8 (GCA_001661255),Wickerhamomyces anomalus NRRL Y-366-8,NRRL Y-366-8,,Ensembl-Genbank,,,
Wickerhamomyces anomalus NRRL Y-366-8 v1.0,Wickerhamomyces anomalus NRRL Y-366-8,NRRL Y-366-8,,JGI,,,
Wickerhamomyces ciferrii str. NRRL Y-1031 (GCA_000313485),Wickerhamomyces ciferrii str. NRRL Y-1031,NRRL Y-1031,,Ensembl-Genbank,,,
Wilcoxina mikolae CBS 423.85 v1.0,Wilcoxina mikolae CBS 423.85,CBS 423.85,,JGI,,,
